Report generated on: 03-06-2023 12:08:31
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-AUS-TBPD.A","        Australia","","","","","","","","460","474","444","489","571","665","606","639","633","583","666","635","619","589.1582410958904","624.3095890410959","646.7945205479452","666.7486338797814","694.5616438356165","648.7068493150684","646.9506849315069","828.0582540983606","768.2571287671232","744.2448794520549","629.8129808219178","557.3441857923498","580.7939315068493","561.7725616438356","567.3559178082191","569.4678120218579","576.0445342465754","584.962105479452","508.2969315068493","500.65341420765026","425.27433561643835","441.6777424657534","396.4672219178082","367.03257158469944","335.5935397260274","364.6694620001146","475.30953961695866","475.17315043921417","460.1342704607053"
"INTL.53-1-AUT-TBPD.A","        Austria","","","","","","","","30","28","29","28","27","25","25","24","27","27","27","30","27","26.10241095890411","26","27.704109589041096","26.69726775956284","24","25.704109589041096","23.2","24.746918032786873","25.28533287671233","26.89387534246575","25.908538356164385","26.462234972677596","24.920438356164382","26.617424657534247","27.68280821917808","27.714301639344264","27.5462","35.62571780821918","36.10133424657534","36.155335519125686","26.98200410958904","30.84496301369863","31.574990410958904","29.36100218579235","27.42664931506849","26.49570410958904","26.442115068493152","23.786102732240437","24.90202726406311"
"INTL.53-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","206.5001424657534","191.1095890410959","180.55753424657533","180.3808743169399","179.9753424657534","236.77397260273972","283.5780821917808","288.5872103184044","308.8623379108603","315.4184464367507","325.1747627892274","317.6342295081967","440.00560273972604","646.5805479452055","849.0690465753424","874.6622415300546","1011.9790753424658","1040.858797260274","989.0781205479452","927.6480338797815","876.5573205479452","852.714204109589","854.1325726027397","839.0564513661202","794.8208502137726","795.0061213641234","773.2083641038494","700.3683322683845","716.7350728223131"
"INTL.53-1-BHR-TBPD.A","        Bahrain","69.67671232876712","66.40821917808219","61.4027397260274","60.25136612021858","55.986301369863014","51.323287671232876","49.084931506849315","48.24590163934426","46.082191780821915","43.9041095890411","42","41.0792349726776","42.43561643835616","43.92328767123288","42.42739726027397","43.58743169398907","42.40821917808219","42.0022","38.00305205479452","36.743169398907106","54.8","55.2","53","46.4","53.1","49.6","49.2","49.77500962498361","49.25458037533151","49.39291331506849","49.5895917260274","50.606","47.525","48.853","48.435","196.1829","195.5421","193.70770547945204","202.14144931506848","185.4937300546448","210.5174602739726","216.19964657534246","216.20197808219177","215.49838907103825","213.02292328767123","211.09105205479452","211.2315602739726","184.52484754098361","188.54464845514946"
"INTL.53-1-BGD-TBPD.A","        Bangladesh","","","","","","","","0","0","0","0.2","0.4","0.7","0.7","0.6","0.8","0.7","1","0.9","1","1.2","1.6","1.3","1.5","2.2","2.2","2","3.211034029016393","4.1014933735287675","6.824691790569863","6.912831128591781","6.746","6.76","6.733","6.724","6.386566666666667","5.6188","5.091","5.088","4.8520666666666665","4.1659","4.1431","4.1263","4.1286","15.591353424657534","14.9247","13.9236","13.731674316939891","13.405835402264056"
"INTL.53-1-BRB-TBPD.A","        Barbados","","","","","","","","0","0","1","1","2","2","1.9","1.2","1.2","1","1.1","1","1.2","1.2","1.1","1.1","1.2","0.9","1.6","1.9","1.53","1.271","1","1","1.002","1","1.1","1","1.001","1.001","1.001","1.001","1.001","1.001","1.001","1","1","1.001","1.001","1.001","1.001","1.001"
"INTL.53-1-BLR-TBPD.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","42","34.94794520547945","36.35068493150685","34.18082191780822","32.86120218579235","33.54246575342466","33.916438356164385","33.88904109589041","34.68791360242278","35.37199904963288","33.469221064","34.33128574355068","35.031333333333336","35.155","35.602","36.011","35.29208","32.257","31.9088","30.71735","30.226","31.1301","32.6124","26.399531506849314","32.959266666666664","32.245024657534245","33.838942465753426","34.25597671232877","34.58867868852459","34.1826539008157"
"INTL.53-1-BEL-TBPD.A","        Belgium","","","","","","","","8","8","9","10","11","11","6.1","5.6","8.2","11","11","9.1","10","9.795","13","12","11","11","11","12","10.2181174863388","12.3046","13.0608520547945","11.0603479452054","10.688","8.691","11.914","11.224","10.7599","10.9045","21.1237","20.0665","20.2646","20.984","25.5009","21.057","19.9088","19.7815","18.5877","24.3528","23.6427","24.79236143224496"
"INTL.53-1-BLZ-TBPD.A","        Belize","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.146978082191781","3.853449315068493","2.814051912568306","2.1708383561643836","1.760041095890411","1.7084931506849315","1.7","0.9896624109589041","0.825957397260274","0.7241655662599545","0.721838295459747","1.29726"
"INTL.53-1-BEN-TBPD.A","        Benin","","","","","","","","0","0","0","4","7","8","8","7","5","4","4","4","5.6","5.8","5.9","3","2","1.3","1","1","0.69","0.7","0.8","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BMU-TBPD.A","        Bermuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BTN-TBPD.A","        Bhutan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BOL-TBPD.A","        Bolivia","","","","","","","","32","26","30","28","27","26","23","24","24","25","26","26","28","28.915068493150685","31.8","35.59178082191781","37.863934426229505","38.13835616438356","44.7","41.5","40.435148657945355","44.85325283443669","47.22013418987341","42.92015299819397","61.338472677595625","62.66446301369863","61.31666301369863","61.82528219178082","51.4991174863388","45.85590136986301","47.76684246575343","49.141997260273975","57.393867759562845","64.97111506849315","68.7762602739726","73.60934657534247","77.42940983606557","78.17478123287671","74.23510597249165","69.61304728767124","66.22798403065448","65.40553047085776"
"INTL.53-1-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.073","-0.059","-0.093","-0.0813","-0.0127","0.05727","0.1061","0.2","0.1707","0.1923","0.1865","0.1942","0.1966","0.1993","0.1884","0.20605362283020215"
"INTL.53-1-BWA-TBPD.A","        Botswana","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BRA-TBPD.A","        Brazil","","","","","","","","245","283","348","460","614","734","740","768","751","790","821","838","824","839.0006301369863","957.4246575342465","990.4246575342465","1107.0027322404371","1172.1972602739727","1282.627397260274","1427.772602739726","1534.1068965432798","1573.4855144624205","1757.8922450543669","1846.8988412124982","1839.4839480874316","2037.5220136986302","2169.463605479452","2283.504808219178","2429.4303098360656","2554.2000465753426","2714.3093904109587","2687.0416534246574","2655.8519349726776","2697.2732616438357","2954.4714328767122","3170.1922643835615","3219.382080327869","3350.5847222137627","3412.6817900688106","3659.464081215413","3769.3007859527615","3689.416939455908"
"INTL.53-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-BRN-TBPD.A","        Brunei","","","","","","","","270","188","179","187","175","168","181","150","148","142","160","171","178","178.2","180.63561643835615","175.84383561643835","166.69617486338797","175.34109589041097","179.58767123287672","204.22328767123287","215.36775561186903","217.5836606737863","189.40659608152876","196.36775230463013","204.43110655737706","209.95945205479453","221.2447808219178","169.9666301369863","157.7529387978142","148.8236191780822","153.29123150684933","169.3428410958904","158.7005382513661","135.44874931506848","126.78161095890411","126.96547671232877","120.99198797814208","113.3402506849315","111.58755479452054","121.5264410958904","109.9940912568306","106.72962675884163"
"INTL.53-1-BGR-TBPD.A","        Bulgaria","","","","","","","","3","3","3","3","4","6","-0.2","0.09789268493151","-1.5","4.7","3.5","0.03394316988493","0.4","0.6","0.3","1","1.6","0.9","2.2","2.6","1.96206795607104","1.162427050131507","2.64813243062466","3.12806277483836","3.661","3.357","3.378","3.125","3.4224","3.0794","3.0589","2.9946","3.3832","3.6614","2.854791780821918","3.9468","4.2034","4.7027","5.2677","6.0875","5.9982","6.142786379499914"
"INTL.53-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MMR-TBPD.A","        Burma","","","","","","","","30","27","30","30","32","30","24","17","14","16","14","16","15","14.5","14.342465753424657","10.2","8.4","9.6","11.6","10.2","12.740341286054646","10.487984728980821","15.602408682120547","15.687312996142467","20.684","20.751","23.791","21.954643835616437","22.03923442622951","18.709731506849316","21.045067123287673","20.636","20.5894","20.5829","20.196242465753425","15.5365","15.5264","11.5399","9.544","8.5488","8.387190710382514","8.185863674806365"
"INTL.53-1-BDI-TBPD.A","        Burundi","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CPV-TBPD.A","        Cabo Verde","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-KHM-TBPD.A","        Cambodia","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-CMR-TBPD.A","        Cameroon","","","","","","","","58","87","109","114","135","185","177","174","163","170","161","153","140","126.8917808219178","108.34520547945205","111.4","108.41639344262295","124.5","121.5","100.5","85.05965451679782","76.89132534020274","69.90075614658082","67.21815349585754","66.34707103825137","82.70906849315068","86.80773972602739","83.15639726027398","81.76153661202186","77.3506095890411","65.4585","62.12417397260274","63.3659","62.99956438356164","75.3438","98.3637","92.3527","76.32675205479451","69.22649452054794","69.59111143013699","67.02330056475931","63.59289270035155"
"INTL.53-1-CAN-TBPD.A","        Canada","1798.109589041096","1550.9534246575342","1430.2301369863014","1313.983606557377","1321.1342465753426","1316.021917808219","1500.1780821917807","1435.2021857923498","1284.7287671232878","1271.150684931507","1356.2301369863014","1437.622950819672","1471.0520547945205","1474.2191780821918","1534.9287671232876","1616.2322404371585","1560.0958904109589","1552.9996712328766","1547.9806438356165","1605.2250251338764","2249.837816438356","2341.290410958904","2452.794520547945","2501.5765027322404","2627.4712328767123","2700.0493150684933","2632.5575342465754","2753.144554644809","2816.3618479452057","2953.699680821918","3113.6452102739727","3139.358081967213","3096.28461369863","3292.0780767123288","3448.5232328767124","3345.1750967213115","3308.373717808219","3429.9934739726027","3583.7165712328765","3842.1190355191256","4056.8524876712327","4378.220669863013","4493.867161643836","4576.818819672131","4946.555156164383","5348.1455602739725","5477.585794520548","5234.650101639344","5537.4510031105865"
